rank,rank_offset,global_draw_position,mixed_dataset_index,dataset,child_index,sample_id
0,0,1547,424,rio,424,scene0181_00-scene0181_01
0,1,1073,2354,scannet,1180,scene0687_00
0,2,1752,2068,scannet,894,scene0503_00
0,3,19,591,rio,591,scene0244_02-scene0244_01
0,4,1691,1200,scannet,26,scene0013_00
0,5,933,1477,scannet,303,scene0162_00
0,6,611,845,rio,845,scene0345_01-scene0345_00
0,7,586,1871,scannet,697,scene0390_00
0,8,1241,2161,scannet,987,scene0556_00
0,9,570,557,rio,557,scene0228_06-scene0228_00
0,10,254,804,rio,804,scene0331_01-scene0331_02
0,11,1801,2110,scannet,936,scene0525_00
0,12,834,1421,scannet,247,scene0130_00
0,13,298,1137,rio,1137,scene0465_00-scene0465_02
0,14,10,973,rio,973,scene0403_04-scene0403_05
0,15,1004,1118,rio,1118,scene0455_01-scene0455_00
0,16,1406,1383,scannet,209,scene0112_01
0,17,1616,979,rio,979,scene0404_03-scene0404_01
0,18,1482,406,rio,406,scene0175_04-scene0175_02
0,19,953,881,rio,881,scene0362_00-scene0362_01
0,20,908,1897,scannet,723,scene0403_00
0,21,2111,718,rio,718,scene0296_00-scene0296_01
0,22,1313,136,rio,136,scene0061_00-scene0061_02
0,23,256,1556,scannet,382,scene0209_00
0,24,539,1866,scannet,692,scene0387_00
0,25,2036,1283,scannet,109,scene0059_00
0,26,745,2295,scannet,1121,scene0640_01
0,27,1619,1332,scannet,158,scene0087_02
0,28,1887,2067,scannet,893,scene0502_02
0,29,1190,449,rio,449,scene0188_02-scene0188_01
0,30,1520,1159,rio,1159,scene0473_01-scene0473_03
0,31,794,983,rio,983,scene0406_01-scene0406_00
0,32,2096,429,rio,429,scene0183_01-scene0183_00
0,33,1543,1386,scannet,212,scene0113_01
0,34,1926,2198,scannet,1024,scene0582_01
0,35,1093,1457,scannet,283,scene0152_01
0,36,1368,1098,rio,1098,scene0446_01-scene0446_00
0,37,519,553,rio,553,scene0228_02-scene0228_06
0,38,238,1396,scannet,222,scene0117_00
0,39,279,1034,rio,1034,scene0425_01-scene0425_00
0,40,1334,787,rio,787,scene0325_01-scene0325_00
0,41,375,76,rio,76,scene0031_01-scene0031_00
0,42,1704,750,rio,750,scene0311_00-scene0311_01
0,43,33,234,rio,234,scene0098_02-scene0098_00
0,44,1395,1902,scannet,728,scene0405_00
0,45,1454,1496,scannet,322,scene0172_01
0,46,1151,1848,scannet,674,scene0376_00
0,47,2005,1582,scannet,408,scene0223_01
0,48,1745,175,rio,175,scene0075_00-scene0075_01
0,49,47,1610,scannet,436,scene0240_00
0,50,1743,1592,scannet,418,scene0229_02
0,51,111,1613,scannet,439,scene0241_02
0,52,363,1010,rio,1010,scene0421_00-scene0421_02
0,53,332,1303,scannet,129,scene0070_00
0,54,2003,1447,scannet,273,scene0145_00
0,55,886,1649,scannet,475,scene0263_01
0,56,985,2153,scannet,979,scene0547_02
0,57,367,1579,scannet,405,scene0220_01
0,58,900,303,rio,303,scene0128_01-scene0128_00
0,59,1354,816,rio,816,scene0336_01-scene0336_00
0,60,1279,177,rio,177,scene0076_00-scene0076_02
0,61,1496,1314,scannet,140,scene0074_02
0,62,664,357,rio,357,scene0158_01-scene0158_04
0,63,1333,1658,scannet,484,scene0267_00
0,64,1068,129,rio,129,scene0056_01-scene0056_00
0,65,554,120,rio,120,scene0052_00-scene0052_01
0,66,959,508,rio,508,scene0212_02-scene0212_00
0,67,924,786,rio,786,scene0325_00-scene0325_02
0,68,559,343,rio,343,scene0152_00-scene0152_01
0,69,1837,481,rio,481,scene0198_03-scene0198_04
0,70,155,823,rio,823,scene0338_01-scene0338_00
0,71,743,121,rio,121,scene0052_01-scene0052_00
0,72,1846,2122,scannet,948,scene0532_00
0,73,714,2038,scannet,864,scene0481_01
0,74,1507,647,rio,647,scene0267_01-scene0267_00
0,75,1603,415,rio,415,scene0176_05-scene0176_03
0,76,1717,185,rio,185,scene0078_02-scene0078_00
0,77,1964,1096,rio,1096,scene0445_01-scene0445_00
0,78,1435,433,rio,433,scene0184_01-scene0184_00
0,79,1325,434,rio,434,scene0185_00-scene0185_01
0,80,1038,1942,scannet,768,scene0428_00
0,81,149,872,rio,872,scene0357_01-scene0357_00
0,82,1459,665,rio,665,scene0276_00-scene0276_03
0,83,547,511,rio,511,scene0214_00-scene0214_01
0,84,1731,950,rio,950,scene0394_02-scene0394_03
0,85,452,56,rio,56,scene0022_00-scene0022_01
0,86,1802,721,rio,721,scene0297_00-scene0297_01
0,87,521,2213,scannet,1039,scene0588_01
0,88,52,1901,scannet,727,scene0404_02
