population_id,reference_id,sequence_id,transition,scan_id,prior_point_count,current_point_count,status
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,0->1,scene0007_00,18952,18952,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,1->2,scene0007_01,18476,18476,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,2->3,scene0007_03,15616,15616,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_00-scene0007_01-scene0007_03-scene0007_02-scene0007_04,3->4,scene0007_02,16996,16996,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,0->1,scene0007_01,18476,18476,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,1->2,scene0007_03,15616,15616,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,2->3,scene0007_02,16996,16996,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_01-scene0007_03-scene0007_02-scene0007_04-scene0007_00,3->4,scene0007_04,14166,14166,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,0->1,scene0007_02,16996,16996,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,1->2,scene0007_04,14166,14166,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,2->3,scene0007_00,18952,18952,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_02-scene0007_04-scene0007_00-scene0007_01-scene0007_03,3->4,scene0007_01,18476,18476,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,0->1,scene0007_03,15616,15616,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,1->2,scene0007_02,16996,16996,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,2->3,scene0007_04,14166,14166,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_03-scene0007_02-scene0007_04-scene0007_00-scene0007_01,3->4,scene0007_00,18952,18952,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,0->1,scene0007_04,14166,14166,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,1->2,scene0007_00,18952,18952,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,2->3,scene0007_01,18476,18476,IDENTICAL
development,09582244-e2c2-2de1-956c-357092d949d1,scene0007_04-scene0007_00-scene0007_01-scene0007_03-scene0007_02,3->4,scene0007_03,15616,15616,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,0->1,scene0066_00,111283,111283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,1->2,scene0066_02,104115,104115,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,2->3,scene0066_03,69199,69199,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_00-scene0066_02-scene0066_03-scene0066_04-scene0066_01,3->4,scene0066_04,70391,70391,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,0->1,scene0066_01,110283,110283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,1->2,scene0066_00,111283,111283,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,2->3,scene0066_02,104115,104115,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_01-scene0066_00-scene0066_02-scene0066_03-scene0066_04,3->4,scene0066_03,69199,69199,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,0->1,scene0066_02,104115,104115,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,1->2,scene0066_03,69199,69199,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,2->3,scene0066_04,70391,70391,IDENTICAL
development,0f2f2711-b736-2f71-8c6a-245a9d820a8c,scene0066_02-scene0066_03-scene0066_04-scene0066_01-scene0066_00,3->4,scene0066_01,110283,110283,IDENTICAL
