reference_id,scan_id,raw_scan_uuid,source_split,role,processed_reference,processed_readable,instance_gt_reference,instance_gt_readable,canonical_instance_mapping_available
02b33dfb-be2b-2d54-92d2-cd012b2b3c40,scene0001_00,02b33dfb-be2b-2d54-92d2-cd012b2b3c40,train,adaptation,external:data_root/processed/rio/train/0001_00.npy,True,external:data_root/processed/rio/instance_gt/train/scene0001_00.txt,True,True
02b33dfb-be2b-2d54-92d2-cd012b2b3c40,scene0001_01,fcf66d9e-622d-291c-84c2-bb23dfe31327,train,adaptation,external:data_root/processed/rio/train/0001_01.npy,True,external:data_root/processed/rio/instance_gt/train/scene0001_01.txt,True,True
02b33dfb-be2b-2d54-92d2-cd012b2b3c40,scene0001_02,02b33df9-be2b-2d54-9062-1253be3ce186,train,adaptation,external:data_root/processed/rio/train/0001_02.npy,True,external:data_root/processed/rio/instance_gt/train/scene0001_02.txt,True,True
02b33dfb-be2b-2d54-92d2-cd012b2b3c40,scene0001_03,02b33dfd-be2b-2d54-91d2-55454852009e,train,adaptation,external:data_root/processed/rio/train/0001_03.npy,True,external:data_root/processed/rio/instance_gt/train/scene0001_03.txt,True,True
02b33e01-be2b-2d54-93fb-4145a709cec5,scene0002_00,02b33e01-be2b-2d54-93fb-4145a709cec5,train,adaptation,external:data_root/processed/rio/train/0002_00.npy,True,external:data_root/processed/rio/instance_gt/train/scene0002_00.txt,True,True
02b33e01-be2b-2d54-93fb-4145a709cec5,scene0002_01,fcf66d8a-622d-291c-8429-0e1109c6bb26,train,adaptation,external:data_root/processed/rio/train/0002_01.npy,True,external:data_root/processed/rio/instance_gt/train/scene0002_01.txt,True,True
02b33e01-be2b-2d54-93fb-4145a709cec5,scene0002_02,fcf66d88-622d-291c-871f-699b2d063630,train,adaptation,external:data_root/processed/rio/train/0002_02.npy,True,external:data_root/processed/rio/instance_gt/train/scene0002_02.txt,True,True
02b33e01-be2b-2d54-93fb-4145a709cec5,scene0002_03,02b33e03-be2b-2d54-9129-5d28efdd68fa,train,adaptation,external:data_root/processed/rio/train/0002_03.npy,True,external:data_root/processed/rio/instance_gt/train/scene0002_03.txt,True,True
095821f7-e2c2-2de1-9568-b9ce59920e29,scene0003_00,095821f7-e2c2-2de1-9568-b9ce59920e29,validation,additional_native_refs,external:data_root/processed/rio/validation/0003_00.npy,True,external:data_root/processed/rio/instance_gt/validation/scene0003_00.txt,True,True
095821f7-e2c2-2de1-9568-b9ce59920e29,scene0003_01,2e369567-e133-204c-909a-c5da44bb58df,validation,additional_native_refs,external:data_root/processed/rio/validation/0003_01.npy,True,external:data_root/processed/rio/instance_gt/validation/scene0003_01.txt,True,True
095821f7-e2c2-2de1-9568-b9ce59920e29,scene0003_02,095821f9-e2c2-2de1-9707-8f735cd1c148,validation,additional_native_refs,external:data_root/processed/rio/validation/0003_02.npy,True,external:data_root/processed/rio/instance_gt/validation/scene0003_02.txt,True,True
095821f7-e2c2-2de1-9568-b9ce59920e29,scene0003_03,095821fb-e2c2-2de1-94df-20f2cb423bcb,validation,additional_native_refs,external:data_root/processed/rio/validation/0003_03.npy,True,external:data_root/processed/rio/instance_gt/validation/scene0003_03.txt,True,True
0958220d-e2c2-2de1-9710-c37018da1883,scene0004_00,0958220d-e2c2-2de1-9710-c37018da1883,train,adaptation,external:data_root/processed/rio/train/0004_00.npy,True,external:data_root/processed/rio/instance_gt/train/scene0004_00.txt,True,True
0958220d-e2c2-2de1-9710-c37018da1883,scene0004_01,0958220b-e2c2-2de1-96bc-739f09c1e8f8,train,adaptation,external:data_root/processed/rio/train/0004_01.npy,True,external:data_root/processed/rio/instance_gt/train/scene0004_01.txt,True,True
0958220d-e2c2-2de1-9710-c37018da1883,scene0004_02,09582205-e2c2-2de1-9475-1cdac7639e60,train,adaptation,external:data_root/processed/rio/train/0004_02.npy,True,external:data_root/processed/rio/instance_gt/train/scene0004_02.txt,True,True
0958220d-e2c2-2de1-9710-c37018da1883,scene0004_03,09582207-e2c2-2de1-972c-225d968c2ab4,train,adaptation,external:data_root/processed/rio/train/0004_03.npy,True,external:data_root/processed/rio/instance_gt/train/scene0004_03.txt,True,True
0958220d-e2c2-2de1-9710-c37018da1883,scene0004_04,09582209-e2c2-2de1-9610-08baed932919,train,adaptation,external:data_root/processed/rio/train/0004_04.npy,True,external:data_root/processed/rio/instance_gt/train/scene0004_04.txt,True,True
09582212-e2c2-2de1-9700-fa44b14fbded,scene0005_00,09582212-e2c2-2de1-9700-fa44b14fbded,train,adaptation,external:data_root/processed/rio/train/0005_00.npy,True,external:data_root/processed/rio/instance_gt/train/scene0005_00.txt,True,True
09582212-e2c2-2de1-9700-fa44b14fbded,scene0005_01,0958221b-e2c2-2de1-96b1-6233099811a0,train,adaptation,external:data_root/processed/rio/train/0005_01.npy,True,external:data_root/processed/rio/instance_gt/train/scene0005_01.txt,True,True
09582212-e2c2-2de1-9700-fa44b14fbded,scene0005_02,09582214-e2c2-2de1-956a-64d8da4ba7cc,train,adaptation,external:data_root/processed/rio/train/0005_02.npy,True,external:data_root/processed/rio/instance_gt/train/scene0005_02.txt,True,True
09582212-e2c2-2de1-9700-fa44b14fbded,scene0005_03,09582216-e2c2-2de1-97de-efcab1ef9c43,train,adaptation,external:data_root/processed/rio/train/0005_03.npy,True,external:data_root/processed/rio/instance_gt/train/scene0005_03.txt,True,True
09582212-e2c2-2de1-9700-fa44b14fbded,scene0005_04,09582219-e2c2-2de1-9534-519142703037,train,adaptation,external:data_root/processed/rio/train/0005_04.npy,True,external:data_root/processed/rio/instance_gt/train/scene0005_04.txt,True,True
09582225-e2c2-2de1-9564-f6681ef5e511,scene0006_00,09582225-e2c2-2de1-9564-f6681ef5e511,train,adaptation,external:data_root/processed/rio/train/0006_00.npy,True,external:data_root/processed/rio/instance_gt/train/scene0006_00.txt,True,True
09582225-e2c2-2de1-9564-f6681ef5e511,scene0006_01,0958222a-e2c2-2de1-9474-35e601b3682a,train,adaptation,external:data_root/processed/rio/train/0006_01.npy,True,external:data_root/processed/rio/instance_gt/train/scene0006_01.txt,True,True
09582225-e2c2-2de1-9564-f6681ef5e511,scene0006_02,0958222d-e2c2-2de1-9732-e2fb990692ef,train,adaptation,external:data_root/processed/rio/train/0006_02.npy,True,external:data_root/processed/rio/instance_gt/train/scene0006_02.txt,True,True
09582225-e2c2-2de1-9564-f6681ef5e511,scene0006_03,09582223-e2c2-2de1-94b6-750684b4f80a,train,adaptation,external:data_root/processed/rio/train/0006_03.npy,True,external:data_root/processed/rio/instance_gt/train/scene0006_03.txt,True,True
09582225-e2c2-2de1-9564-f6681ef5e511,scene0006_04,09582228-e2c2-2de1-953d-f6f1ee4b3699,train,adaptation,external:data_root/processed/rio/train/0006_04.npy,True,external:data_root/processed/rio/instance_gt/train/scene0006_04.txt,True,True
09582244-e2c2-2de1-956c-357092d949d1,scene0007_00,09582244-e2c2-2de1-956c-357092d949d1,train,development,external:data_root/processed/rio/train/0007_00.npy,True,external:data_root/processed/rio/instance_gt/train/scene0007_00.txt,True,True
