micro_step,accumulation_window,accumulation_window_size,target_window_samples,normalization_denominator_microbatches,relative_gradient_scale,optimizer_step_before,optimizer_step_after,global_step_before,global_step_after,scheduler_last_epoch_before,scheduler_last_epoch_after,lr_before,lr_after,did_optimizer_step
1,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
2,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
3,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
4,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
5,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
6,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
7,1,8,32,8,1,0,0,0,0,0,0,0.00040587282697488147,0.00040587282697488147,false
8,1,8,32,8,1,0,1,0,1,0,1,0.00040587282697488147,2.0000000000000001e-09,true
9,2,2,8,8,0.25,1,1,1,1,1,1,2.0000000000000001e-09,2.0000000000000001e-09,false
10,2,2,8,8,0.25,1,2,1,2,1,2,2.0000000000000001e-09,0.00040587282697488147,true
