master_sequence_id,reference_scene_id,sequence_id,scan_id_1,scan_id_2,exact_ordered_pair_present,official_like_split,official_like_supervised,scene,sub_scenes,official_like_filepath
scene0069_00-scene0069_02-scene0069_04-scene0069_03-scene0069_01,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_00-scene0069_02,scene0069_00,scene0069_02,false,,false,,,
scene0069_01-scene0069_06-scene0069_09-scene0069_05-scene0069_08,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_01-scene0069_06,scene0069_01,scene0069_06,false,,false,,,
scene0069_02-scene0069_04-scene0069_03-scene0069_01-scene0069_06,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_02-scene0069_04,scene0069_02,scene0069_04,true,validation,true,69,2;4,data/processed/rio/change_gt/validation/scene0069_02-scene0069_04.txt
scene0069_03-scene0069_01-scene0069_06-scene0069_09-scene0069_05,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_03-scene0069_01,scene0069_03,scene0069_01,false,,false,,,
scene0069_04-scene0069_03-scene0069_01-scene0069_06-scene0069_09,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_04-scene0069_03,scene0069_04,scene0069_03,false,,false,,,
scene0069_05-scene0069_08-scene0069_07-scene0069_00-scene0069_02,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_05-scene0069_08,scene0069_05,scene0069_08,false,,false,,,
scene0069_06-scene0069_09-scene0069_05-scene0069_08-scene0069_07,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_06-scene0069_09,scene0069_06,scene0069_09,false,,false,,,
scene0069_07-scene0069_00-scene0069_02-scene0069_04-scene0069_03,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_07-scene0069_00,scene0069_07,scene0069_00,false,,false,,,
scene0069_08-scene0069_07-scene0069_00-scene0069_02-scene0069_04,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_08-scene0069_07,scene0069_08,scene0069_07,false,,false,,,
scene0069_09-scene0069_05-scene0069_08-scene0069_07-scene0069_00,10b17940-3938-2467-8a7a-958300ba83d3,scene0069_09-scene0069_05,scene0069_09,scene0069_05,false,,false,,,
scene0079_00-scene0079_09-scene0079_05-scene0079_04-scene0079_03,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_00-scene0079_09,scene0079_00,scene0079_09,false,,false,,,
scene0079_01-scene0079_06-scene0079_11-scene0079_10-scene0079_02,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_01-scene0079_06,scene0079_01,scene0079_06,false,,false,,,
scene0079_02-scene0079_08-scene0079_00-scene0079_09-scene0079_05,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_02-scene0079_08,scene0079_02,scene0079_08,false,,false,,,
scene0079_03-scene0079_07-scene0079_01-scene0079_06-scene0079_11,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_03-scene0079_07,scene0079_03,scene0079_07,false,,false,,,
scene0079_04-scene0079_03-scene0079_07-scene0079_01-scene0079_06,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_04-scene0079_03,scene0079_04,scene0079_03,false,,false,,,
scene0079_05-scene0079_04-scene0079_03-scene0079_07-scene0079_01,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_05-scene0079_04,scene0079_05,scene0079_04,false,,false,,,
scene0079_06-scene0079_11-scene0079_10-scene0079_02-scene0079_08,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_06-scene0079_11,scene0079_06,scene0079_11,false,,false,,,
scene0079_07-scene0079_01-scene0079_06-scene0079_11-scene0079_10,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_07-scene0079_01,scene0079_07,scene0079_01,false,,false,,,
scene0079_08-scene0079_00-scene0079_09-scene0079_05-scene0079_04,137a8158-1db5-2cc0-8003-31c12610471e,scene0079_08-scene0079_00,scene0079_08,scene0079_00,true,validation,true,79,8;0,data/processed/rio/change_gt/validation/scene0079_08-scene0079_00.txt
